,Product Name,Product Link,Product Price,Prodcut Description,Product Rating
0,Packard 255 G2,https://webscraper.io//test-sites/e-commerce/static/product/516,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews
1,Aspire E1-510,https://webscraper.io//test-sites/e-commerce/static/product/517,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews
2,ThinkPad T540p,https://webscraper.io//test-sites/e-commerce/static/product/518,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews
3,ProBook,https://webscraper.io//test-sites/e-commerce/static/product/519,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews
4,ThinkPad X240,https://webscraper.io//test-sites/e-commerce/static/product/520,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12 reviews
5,Aspire E1-572G,https://webscraper.io//test-sites/e-commerce/static/product/521,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 reviews
6,ThinkPad Yoga,https://webscraper.io//test-sites/e-commerce/static/product/522,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews
7,Pavilion,https://webscraper.io//test-sites/e-commerce/static/product/523,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews
8,Inspiron 15,https://webscraper.io//test-sites/e-commerce/static/product/524,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12 reviews
9,Dell XPS 13,https://webscraper.io//test-sites/e-commerce/static/product/525,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews
10,ThinkPad X230,https://webscraper.io//test-sites/e-commerce/static/product/526,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10 reviews
11,HP 250 G3,https://webscraper.io//test-sites/e-commerce/static/product/527,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13 reviews
12,ThinkPad Yoga,https://webscraper.io//test-sites/e-commerce/static/product/528,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 reviews
13,HP 350 G1,https://webscraper.io//test-sites/e-commerce/static/product/529,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews
14,Asus VivoBook Ma...,https://webscraper.io//test-sites/e-commerce/static/product/530,$399.00,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews
15,Dell Vostro 15,https://webscraper.io//test-sites/e-commerce/static/product/531,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews
16,Acer Spin 5,https://webscraper.io//test-sites/e-commerce/static/product/532,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews
17,Acer Aspire A515...,https://webscraper.io//test-sites/e-commerce/static/product/533,$679.00,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews
18,Dell Inspiron 15,https://webscraper.io//test-sites/e-commerce/static/product/534,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 reviews
19,Asus VivoBook S1...,https://webscraper.io//test-sites/e-commerce/static/product/535,$729.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews
20,Asus ROG STRIX G...,https://webscraper.io//test-sites/e-commerce/static/product/536,$799.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews
21,Acer Nitro 5 AN5...,https://webscraper.io//test-sites/e-commerce/static/product/537,$809.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews
22,Asus ROG STRIX G...,https://webscraper.io//test-sites/e-commerce/static/product/538,$899.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 reviews
23,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/539,$999.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews
24,Lenovo Legion Y5...,https://webscraper.io//test-sites/e-commerce/static/product/540,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews
25,Lenovo Legion Y7...,https://webscraper.io//test-sites/e-commerce/static/product/541,$1399.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",8 reviews
26,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/542,$1769.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 reviews
27,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/543,$1769.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",8 reviews
28,Asus ROG Strix S...,https://webscraper.io//test-sites/e-commerce/static/product/544,$1799.00,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",8 reviews
29,Asus VivoBook X4...,https://webscraper.io//test-sites/e-commerce/static/product/545,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews
30,Prestigio SmartB...,https://webscraper.io//test-sites/e-commerce/static/product/546,$299.00,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 reviews
31,Prestigio SmartB...,https://webscraper.io//test-sites/e-commerce/static/product/547,$299.00,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",12 reviews
32,Lenovo V110-15IA...,https://webscraper.io//test-sites/e-commerce/static/product/548,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews
33,Lenovo V110-15IA...,https://webscraper.io//test-sites/e-commerce/static/product/549,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews
34,Hewlett Packard...,https://webscraper.io//test-sites/e-commerce/static/product/550,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews
35,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/551,$372.70,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews
36,Acer Aspire A315...,https://webscraper.io//test-sites/e-commerce/static/product/552,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",0 reviews
37,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/553,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews
38,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/554,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
39,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/555,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",9 reviews
