,Company Name,Experience,Location,Job Desc,Key Skill
0,Pure Tech Codex Private Limited,2 - 3 yrs,Pune,"
Job Description:
Job Description: 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go... More Details
","rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb"
1,Surya Informatics Solutions Pvt. Ltd.,0 - 3 yrs,Chennai,"
Job Description:
POSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver... More Details
","python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript"
2,TEAMPLUS STAFFING SOLUTION PVT. LTD.,0 - 3 yrs,Pune,"
Job Description:
Job Role  &  Responsibility Given Images labelling using Labelling tool ,  as per the clients requirements.Skills Ability to read and understand Image files and clipping the i... More Details
","python  ,  python scripting  ,  os  ,  xml"
3,Gemini Solutions,4 - 7 yrs,Gurgaon,"
Job Description:
4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting... More Details
","python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database"
4,"RESEARCH DEVELOPERS
     (More Jobs)",0 - 3 yrs,(More Jobs) ,"
Job Description:
Excellent understanding of machine learning techniques and algorithms ,  such as k-NN ,  Naive Bayes ,  SVM ,  Decision Forests ,  etc.Experience with common data science tool... More Details
","python  ,  research  ,  python programmer  ,  Machine Learning  ,  Pattern Recognition  ,  Image Processing  ,  Digital Image  ,  Signal Processing  ,  Electronic Circuits  ,  Network Analysis"
5,"Eternal HR Services Pvt Ltd
     (More Jobs)",3 - 8 yrs,(More Jobs) ,"
Job Description:
Python DeveloperExp of 4 + YrsGood python programmingPyTest Framwork knowledge or work experience preferredStrong SQL knowledgeStrong Python Automation experience requiredComm... More Details
","Python  ,  SQL"
6,"Software Development Center - Lenze Mechatronics Pvt Ltd.
     (More Jobs)",4 - 6 yrs,(More Jobs) ,"
Job Description:
Lenze Software Development Center  ( SDC ) -R & D Unit.Google location: https: /  / goo.gl / maps / tu6fpYDEY6tr2zeL9Skills  &  Technologies: Mandatory:Hands-on experience of ... More Details
","Python Scripting  ,  Selenium WebDriver  ,  OOP in Python  ,  Jenkins  ,  Git"
7,Ivan Infotech Pvt. Ltd.,2 - 5 yrs,Kolkata,"
Job Description:
We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code ,  debugging programs and integrating ap... More Details
","rest  ,  python  ,  security  ,  debugging"
8,DBS Bank Ltd,0 - 3 yrs,Hyderabad/Secunderabad,"
Job Description:
Python Engineer -  (  WD32434  ) ResponsibilitiesDesign and build from scratch for enterprise observability infrastructureCreate and maintain optimal data pipeline.Assemble la... More Details
","python  ,  java  ,  infrastructure  ,  software engineering"
9,TandA HR Solutions,4 - 6 yrs,"Gurgaon,  Chandigarh","
Job Description:
Good to have working knowledge on unit testing of the Code and write Test Cases.Excellent to Have an account on GIT HubShould have done projects on Python ,  Django ,  FlaskMu... More Details
","python  ,  git  ,  django"
